COMPONENT,Site Name,Joint Base,State Terr,Oper Stat,PERIMETER,AREA
Navy Active,Amphib Base Coronado East,N/A,California,Active,5.52341556,0.77466416
Navy Active,Warner Springs Rts,N/A,California,Active,23.25084967,9.52447707
Army Active,Carlisle Barracks,N/A,Pennsylvania,Active,5.1381422,0.65458851
AF Active,Peterson AFB,N/A,Colorado,Active,12.59961731,2.15761494
Army Active,Tooele Army Depot,N/A,Utah,Active,35.20739677,39.68713188
Army Active,Pueblo Chemical Depot,N/A,Colorado,Active,25.51299597,35.66381945
Army Active,Yuma Proving Ground,N/A,Arizona,Active,267.5264085,1307.98611
Army Active,NTC and Fort Irwin,N/A,California,Active,168.383418,1180.204962
Army Active,Hawthorne Army Depot,N/A,Nevada,Active,152.4509978,228.2433508
Army Active,Lake City AAP,N/A,Missouri,Active,11.02776385,6.76156222
MC Active,Point of Marsh Target,N/A,North Carolina,Active,50.4921902,18.61748255
MC Active,MCLB Barstow,N/A,California,Active,13.30399099,5.91717573
Navy Active,NAS Oceana VA,N/A,Virginia,Active,14.05080616,8.29236824
Navy Active,Tenjo Vista,Joint Region Marianas,Guam,Active,2.57728448,0.36024833
AF Active,Offut AFB,N/A,Nebraska,Active,11.89015959,3.27800877
AF Active,Cavalier Asn,N/A,North Dakota,Active,2.79210683,0.41544057
AF Active,New Boston Air Station,N/A,New Hampshire,Active,9.25955043,4.51049368
AF Guard,Portland IAP ANG,N/A,Oregon,Active,2.77056327,0.3463822
AF Active,Scott AFB,N/A,Illinois,Active,13.67213131,4.53168279
Army Guard,NG Camp Gruber,N/A,Oklahoma,Active,38.68109414,52.31582472
Army Guard,NG Mead TS/FMS 06/Utes 02,N/A,Nebraska,Active,6.08187224,1.86137173
Army Guard,NG Greenlief TS/UTES 01,N/A,Nebraska,Active,10.01845917,5.14415871
Army Guard,NG Silver Bell Army Heliport,N/A,Arizona,Active,2.14916014,0.25022128
Army Guard,NG Camp Villere,N/A,Louisiana,Active,6.40481827,2.3082715
