COMPONENT,Site Name,Joint Base,State Terr,Oper Stat,PERIMETER,AREA
Army Guard,NG Stones Ranch Military Res,N/A,Connecticut,Active,14.0614345,2.91240409
Army Guard,NG Jackson Bks,N/A,Louisiana,Active,4.08727224,0.18652636
Army Guard,NG Shelbyville,N/A,Indiana,Active,1.17582278,0.07214745
Army Guard,NG Camp Ravenna Joint Military Training Center,N/A,Ohio,Active,27.98837304,33.88266775
Army Guard,NG Rochester NGA and OMS 2,N/A,Minnesota,Active,0.57179585,0.01782066
Army Guard,NG Youngstown Tng Site,N/A,New York,Active,4.61779927,1.34071889
Army Guard,NG Ethan Allen AFB MTA,N/A,Vermont,Active,4.73495996,1.02652087
Army Guard,NG Camp Rapid,N/A,South Dakota,Active,1.45033491,0.12937848
Navy Active,Kamokala Ridge,N/A,Hawaii,Active,1.75419217,0.13891071
Navy Active,JBPHH Pearl Harbor HI,Joint Base Pearl Harbor - Hickam,Hawaii,Active,26.44019343,5.53076205
Navy Active,Vieques West PR,N/A,Puerto Rico,Active,3.35333314,0.12581264
Navy Active,Trumbo Point Annex,N/A,Florida,Active,4.09484789,0.20399029
Navy Active,Santa Cruz Island,N/A,California,Active,0.84067605,0.01240696
Navy Active,Tumon Tank Farm,Joint Region Marianas,Guam,Active,1.03263444,0.03768804
Army Reserve,Parks Reserve Forces Tng Area,N/A,California,Active,12.10233686,3.74509133
Army Active,Highbluff Stagefield AL,N/A,Alabama,Active,1.61826363,0.14827059
Army Active,Kahuku Tng Area,N/A,Hawaii,Active,24.10885693,14.21697719
Army Active,Kilauea Mil Reserve,N/A,Hawaii,Active,1.15740786,0.0773326
Army Reserve,W Silver Spring Complex,N/A,Wisconsin,Active,2.09568162,0.19706563
Army Active,Defense Distrib Depot Susq,N/A,Pennsylvania,Active,6.28513057,1.3104137
Army Active,Fort Detrick,N/A,Maryland,Active,9.3707605,1.90590655
Army Reserve,Devens Reserve Forces Tng Area,N/A,Massachusetts,Active,18.7805218,7.94792546
Army Active,Fort Benjamin Harrison,N/A,Indiana,Inactive,1.96270333,0.10441299
MC Active,MCAS Miramar,N/A,California,Active,44.19571243,35.28132876
Navy Active,Gould Island RI,N/A,Rhode Island,Active,0.84140173,0.01563502
Navy Active,Saufley Field,N/A,Florida,Active,6.89690133,1.33100134
AF Active,Dyess AFB,N/A,Texas,Active,14.97703127,8.38591111
AF Active,Vance AFB,N/A,Oklahoma,Active,12.95639316,5.32526778
AF Guard,Sioux Gateway Airport (ANG),N/A,Iowa,Active,1.85965053,0.11980777
AF Guard,General Wayne A Downing Peoria IAP,N/A,Illinois,Active,3.62388193,0.5651211
Army Guard,NG Camp Fogarty Tng Site,N/A,Rhode Island,Active,4.12075797,0.58829444
Army Guard,NG Bergstrom - (Abia),N/A,Texas,Active,1.17456478,0.0937977
Army Guard,NG Biak Training Center COUTES,N/A,Oregon,Active,52.04252063,44.69652295
Army Guard,NG Nashville,N/A,Tennessee,Active,1.74417681,0.10290826
Army Guard,NG Papago Military Reservation,N/A,Arizona,Active,4.50199573,0.6099293
Army Guard,NG Indianapolis 38 ID,N/A,Indiana,Active,1.0507801,0.07313912
Army Guard,NG CTC Camp Dawson-Kingwood,N/A,West Virginia,Active,42.37537949,12.50940937
Navy Active,NOLF Brewton,N/A,Alabama,Active,5.11835413,1.02628265
Navy Active,Amphib Base Coronado West,N/A,California,Active,1.59537089,0.11352591
Navy Active,Balboa Hospital,N/A,California,Active,1.59046014,0.11864602
Navy Active,NAVWPNSTA Seal Beach,N/A,California,Active,16.0394274,7.48513923
Navy Active,Norco,N/A,California,Active,3.6019808,0.38092326
Navy Active,Randsburg Wash Area,N/A,California,Active,149.0475541,826.1525666
AF Active,Verona Defense Fuel Support Point,N/A,New York,Active,0.56138468,0.02040583
AF Active,F E Warren AFB,N/A,Wyoming,Active,18.97551999,9.64543887
Navy Active,NARL Barrow Camp Tr1,N/A,Alaska,Active,8.170828,0.98578627
AF Guard,Sioux Gateway Airport (ANG),N/A,Iowa,Active,0.74377452,0.0238947
Army Active,Lake Of The Ozarks Recreation,N/A,Missouri,Active,3.84473544,0.50059651
Army Active,Fort Shafter,N/A,Hawaii,Active,7.01601646,0.92213281
MC Active,OLF Atlantic,N/A,North Carolina,Active,8.00600134,2.29638632
MC Active,MCB Camp Pendleton,N/A,California,Active,75.13581087,196.7732822
Navy Active,Sea Plane Base,N/A,Washington,Active,16.67040945,4.91809346
AF Active,Kegelman Air Force Auxiliary Field,N/A,Oklahoma,Active,7.88828531,1.9189984
AF Guard,Pittsburgh IAP (ANG),N/A,Pennsylvania,Active,4.00452124,0.45177954
AF Guard,Smoky Hill ANG Range,N/A,Kansas,Active,38.01773609,53.03493845
AF Active,Seguin Auxiliary Field,Joint Base San Antonio,Texas,Active,9.50407424,1.49755612
Army Guard,NG Orchard Combat Training Center,N/A,Idaho,Active,72.12018494,224.0420562
Army Guard,NG Raleigh,N/A,North Carolina,Active,2.02012792,0.12619144
Army Guard,NG TS Ike Skelton Jefferson City,N/A,Missouri,Active,3.87773452,0.73617051
Army Guard,NG Grand Island AASF/RC,N/A,Nebraska,Active,1.04771756,0.07795223
Army Guard,NG Lawrenceville,N/A,New Jersey,Active,1.61750645,0.12211461
Navy Active,Silver Strand South,N/A,California,Active,4.25677531,0.85815758
Navy Active,Wahiawa,Joint Base Pearl Harbor - Hickam,Hawaii,Active,7.11309558,1.07307736
Navy Active,Dandan,Joint Region Marianas,Guam,Active,2.03463347,0.24844873
Navy Active,SPAWARS South,N/A,California,Active,1.42592048,0.07760893
AF Active,Rome Laboratory,N/A,New York,Active,3.49336003,0.13098396
Army Active,Aberdeen Proving Ground,N/A,Maryland,Active,56.0093554,112.7625871
Army Active,Brown 4b Stagefield AL,N/A,Alabama,Active,1.98403965,0.25504468
Army Active,Toth Stagefield AL,N/A,Alabama,Active,1.76953087,0.19007856
Army Active,Schofield Barracks Military Reservation,N/A,Hawaii,Active,43.85006229,23.4489528
Army Active,Fort Hamilton,N/A,New York,Active,3.24169841,0.27630773
Army Active,Iowa AAP,N/A,Iowa,Active,25.59289443,33.62462485
MC Active,ALF Bogue,N/A,North Carolina,Active,7.99680624,1.41145676
Navy Active,Naval Weapons Station Earle NJ,N/A,New Jersey,Active,23.79425256,13.36624457
Navy Active,NAVSUPPACT Hampton Roads VA,N/A,Virginia,Active,5.38171186,1.22247271
Navy Active,Det Philadelphia PA,N/A,Pennsylvania,Active,2.08669546,0.21074834
Navy Active,NAVBASE Guam,Joint Region Marianas,Guam,Active,24.05332264,5.25359859
Navy Active,NAS Meridian MS,N/A,Mississippi,Active,32.75334077,12.63878888
Navy Active,NAVSUPPACT Midsouth Memphis TN,N/A,Tennessee,Active,6.41407356,1.62297726
AF Active,Eglin AFB (Eglin Main and Reservation),N/A,Florida,Active,235.0262584,703.1183461
AF Guard,Bradley IAP,N/A,Connecticut,Active,2.37862622,0.23060368
AF Guard,New Castle Airport,N/A,Delaware,Active,2.13090153,0.12085951
AF Guard,Pease ANGB,N/A,New Hampshire,Active,2.9033002,0.33578116
AF Guard,Savannah/Hilton Head IAP,N/A,Georgia,Active,4.68716859,0.32225043
AF Active,MacDill AFB,N/A,Florida,Active,14.38182786,8.90105922
Army Guard,NG TS Clark Natl Forest Wapp,N/A,Missouri,Active,9.67342612,3.1987163
Army Guard,NG Rosemount NG Armory,N/A,Minnesota,Active,0.56147155,0.01875397
Navy Active,Holtville Carrier LS,N/A,California,Active,19.49433105,1.89598568
Navy Active,West Bank,N/A,Louisiana,Active,3.06635542,0.30661643
Navy Active,NOLF Summerdale,N/A,Alabama,Active,4.29074585,0.87455448
Navy Active,Santa Rosa Parcel B,Joint Region Marianas,Guam,Active,0.60446081,0.01497266
AF Active,Sheppard AFB,N/A,Texas,Active,12.37061032,7.00485874
Navy Active,OLF Coupeville,N/A,Washington,Active,6.92338408,1.04788297
AF Active,Mountain Home AFB,N/A,Idaho,Active,12.65257109,9.42344916
AF Active,Beale AFB,N/A,California,Active,29.51014189,36.18826308
MC Active,MCB Camp Lejeune (East Site),N/A,North Carolina,Active,174.2671753,88.05265063
AF Active,Patrick AFB,N/A,Florida,Active,18.43883883,3.02444993
Army Active,Military Ocean Terminal Concord,N/A,California,Active,34.93170367,9.31225766
Army Active,Fort Campbell KY,N/A,Kentucky,Active,65.30685697,57.96505553
Army Active,Rock Island Arsenal,N/A,Illinois,Active,10.12334765,1.40384772
MC Reserve,Jacksonville FL Maint,N/A,Florida,Active,2.27205097,0.17706
MC Active,Puuloa-Oahu,N/A,Hawaii,Active,2.26757498,0.24891757
Navy Active,Fort Adams RI,N/A,Rhode Island,Active,1.24001498,0.03755488
Navy Active,NAVSTA Mayport FL,N/A,Florida,Active,14.6884409,5.36687841
Navy Active,NAS Corpus Christi TX,N/A,Texas,Active,13.66429392,4.41900068
AF Active,Hurlburt Field,N/A,Florida,Active,15.08632469,9.97662301
AF Reserve,Minn-St Paul,N/A,Minnesota,Active,4.33354996,0.3590452
AF Active,Vandenberg Main Base,N/A,California,Active,97.65642847,154.771353
AF Guard,Will Rogers World Airport,N/A,Oklahoma,Active,1.78869294,0.21183731
Army Guard,NG MTCH Camp Guernsey,N/A,Wyoming,Active,131.3631221,123.2318046
Army Guard,NG Fort Chaffee MTC,N/A,Arkansas,Active,82.34844951,101.7510307
Army Guard,NG MTA Camp Shelby,N/A,Mississippi,Active,109.7643707,216.3044083
Army Guard,NG Picacho Aviation TS,N/A,Arizona,Active,2.96368502,0.51344293
Army Guard,NG MTA Camp Edwards,N/A,Massachusetts,Active,36.9530397,32.11642959
Army Guard,NG MTA Camp Fretterd,N/A,Maryland,Active,4.25629409,0.91768655
Navy Active,NALF Goliad,N/A,Texas,Active,9.67671358,1.77579793
Navy Active,Naval Hospital,N/A,Florida,Active,0.64248908,0.02430987
Navy Active,Gambrills,N/A,Maryland,Active,6.29121013,1.30537598
Navy Active,NAVACAD North Severn,N/A,Maryland,Active,9.39997803,1.28355894
Navy Active,Navy Annex,N/A,California,Active,2.35051998,0.18969614
Navy Active,Potts Tank Farm,Joint Region Marianas,Guam,Active,0.71370768,0.03023694
Navy Active,Stump Neck Area,N/A,Maryland,Active,16.24247393,1.73972264
AF Active,Keesler AFB,N/A,Mississippi,Active,9.50161188,2.22337201
Navy Active,Shipyard Puget Sound,N/A,Washington,Active,3.25852438,0.45793782
Army Reserve,Fort Hunter Liggett,N/A,California,Active,112.2852801,252.8114735
Army Active,Fort Riley,N/A,Kansas,Active,76.12423409,158.9466387
Army Active,Stinson 5AB Stagefield AL,N/A,Alabama,Active,2.09866788,0.27093983
Army Active,Dugway Proving Ground,N/A,Utah,Active,166.5426305,1250.770262
Army Active,Rivanna Station,N/A,Virginia,Active,1.74910696,0.11804562
Army Active,Fort Drum,N/A,New York,Active,83.64489799,170.1439048
Army Active,US Army Soldier Systems Center Natick,N/A,Massachusetts,Active,1.73908776,0.10050346
Army Active,Lone Star AAP (BRAC 2005),N/A,Texas,Inactive,35.18744116,11.29811339
Army Active,Rocky Mountain Arsenal,N/A,Colorado,Inactive,50.79558651,5.80991778
MC Active,Yermo Area,N/A,California,Active,9.11344588,2.64181706
Navy Active,Craney Island,N/A,Virginia,Active,8.58664027,1.14872858
Navy Active,Naval Weapons Station Yorktown,N/A,Virginia,Active,17.12229581,16.23443339
Navy Active,JEBLCFS East,Joint Expeditionary Base Little Creek - Fort Story,Virginia,Active,7.03987052,2.44218058
AF Active,Creech AFB,N/A,Nevada,Active,123.2728757,211.7709777
AF Active,Malmstrom AFB,N/A,Montana,Active,11.7428722,5.1197989
AF Active,Minot AFB,N/A,North Dakota,Active,17.73537119,7.75923308
AF Active,USAF Academy,N/A,Colorado,Active,36.94683316,28.81367101
AF Active,Isabela Puerto Rico,N/A,Puerto Rico,Active,3.4817657,0.64752032
AF Active,Little Rock AFB,N/A,Arkansas,Active,14.60126902,9.71379196
AF Active,Bellows,N/A,Hawaii,Active,5.40831439,0.6427876
AF Active,Luke AFB,N/A,Arizona,Active,18.59304004,4.54293907
AF Guard,Jackson IAP Thompson Field,N/A,Mississippi,Active,3.18635924,0.18841526
AF Guard,Otis ANG Base,N/A,Massachusetts,Active,8.20949827,1.07957185
AF Guard,Rickenbacker,N/A,Ohio,Active,3.17840196,0.26336079
AF Guard,Selfridge ANGB,N/A,Michigan,Active,11.9763104,4.84474071
AF Guard,Volk ANGB,N/A,Wisconsin,Active,10.88799346,3.46476952
AF Guard,Duluth IAP,N/A,Minnesota,Active,3.62073643,0.23824589
AF Guard,Toledo/Exp Airport,N/A,Ohio,Active,2.79467094,0.2112758
Army Guard,NG Camp Niantic,N/A,Connecticut,Active,2.25538866,0.1272156
Army Guard,NG Pelham Range Training Site - Fort McClellan,N/A,Alabama,Active,25.51423338,34.72625367
Army Guard,NG MTC-H Camp Roberts,N/A,California,Active,43.04942674,66.57950519
Army Guard,NG St Cloud NG Armory,N/A,Minnesota,Active,0.47940595,0.01012664
Army Guard,NG Baton Rouge AFRC,N/A,Louisiana,Active,1.76793402,0.07949045
Army Guard,NG Camp Grafton,N/A,North Dakota,Active,39.21101987,18.11781989
Army Guard,NG Spring City Readiness Center,N/A,Pennsylvania,Active,1.12202011,0.08243453
Army Guard,NG MTA Gunpowder Military Reservation,N/A,Maryland,Active,3.21346546,0.39683503
Army Guard,NG Sioux Falls Benson Rd Complex,N/A,South Dakota,Active,1.17532548,0.0888212
Navy Active,Pearl City,Joint Base Pearl Harbor - Hickam,Hawaii,Active,9.66286982,0.90113404
Navy Active,Marbo,Joint Region Marianas,Guam,Active,0.20921927,0.00252842
AF Active,Edwards AFB,N/A,California,Active,113.3904968,481.5408098
Navy Active,Naval Observatory,N/A,District of Columbia,Active,1.1550366,0.11269509
Army Active,Fort Knox,N/A,Kentucky,Active,85.35675698,170.0075073
Army Active,Fort Leonard Wood,N/A,Missouri,Active,51.59341215,96.41521477
Army Active,Fort Rucker AL,N/A,Alabama,Active,60.30741551,90.88878916
Army Active,Detroit Arsenal,N/A,Michigan,Active,2.55583336,0.28746763
Army Active,Fort Greely,N/A,Alaska,Active,16.6596204,10.67476022
Army Active,Jefferson Proving Ground,N/A,Indiana,Inactive,66.58660775,82.48045269
Army Active,Riverbank AAP,N/A,California,Inactive,3.18810746,0.24811282
Navy Active,NSY Portsmouth,N/A,Maine,Active,7.00352791,0.5000837
AF Active,Cape Cod Air Station,N/A,Massachusetts,Active,3.71654684,0.15131146
AF Reserve,Norwalk 2,N/A,California,Active,1.09520406,0.07821894
AF Guard,Atlantic City IAP,N/A,New Jersey,Active,3.86036065,0.46246532
AF Guard,Yeager Airport,N/A,West Virginia,Active,2.20015732,0.19296441
Army Guard,NG Atlanta - Confederate Ave,N/A,Georgia,Active,2.30970448,0.10686207
Army Guard,NG Collegeville FMS 4,N/A,Pennsylvania,Active,1.17466434,0.08080989
Army Guard,NG Buckeye TS,N/A,Arizona,Active,8.93831033,2.34453102
Army Guard,NG Oglethorpe Armory,N/A,Georgia,Active,1.11264814,0.05061777
Army Guard,NG River Road Training Site,N/A,Delaware,Active,2.33556003,0.29793851
Army Guard,NG Edgemeade TS Mtn Home,N/A,Idaho,Active,2.18142403,0.23233542
Army Guard,NG Norman CSMS,N/A,Oklahoma,Active,1.28003708,0.0637749
Army Guard,NG Westminster Training Site,N/A,Vermont,Active,1.39748781,0.07495596
Army Guard,NG VTS Catoosa,N/A,Georgia,Active,9.74430427,2.54628306
Army Guard,NG VTS Smyrna,N/A,Tennessee,Active,7.24220938,1.33363901
Army Guard,NG Saint George/FMS 5B,N/A,Utah,Active,1.45217811,0.10754967
Navy Active,NAF El Centro,N/A,California,Active,11.84536412,4.18521119
Navy Active,OLF Whitehouse,N/A,Florida,Active,26.36286576,7.75551929
Navy Active,Naval Support Activity Orlando,N/A,Florida,Active,1.23958402,0.06458218
AF Active,George AFB,N/A,California,Inactive,17.73438578,8.2408062
Navy Active,NSA South Potomac,N/A,Virginia,Active,8.65673826,4.17467402
AF Active,Grand Forks AFB,N/A,North Dakota,Active,17.0289211,8.25769962
AF Active,Ozol Defense Fuel Support Point,N/A,California,Active,2.4318231,0.08125435
Army Active,Grant Training Annex,Joint Base Lewis - McChord,Washington,Active,2.56714919,0.0553791
Army Active,West Point Military Reservation,N/A,New York,Active,37.18808259,24.77684534
Army Active,US Army Adelphi Laboratory Center,N/A,Maryland,Active,3.52680484,0.32145105
Army Active,Fort Detrick Glen Haven Annex,N/A,Maryland,Active,0.876507,0.0305621
Army Active,Fort Wainwright,N/A,Alaska,Active,211.701871,1034.022421
Army Active,Savanna Depot Act,N/A,Illinois,Inactive,46.71413434,13.32299217
Army Active,Cornhusker AAP,N/A,Nebraska,Inactive,5.00437744,0.58275256
MC Active,MCB Camp Lejeune (West Site),N/A,North Carolina,Active,137.4673019,106.6198489
MC Active,MCB Hawaii (Kaneohe Bay),N/A,Hawaii,Active,13.49084082,4.76390576
Navy Active,Dam Neck,N/A,Virginia,Active,13.56827918,2.97338015
Navy Active,ALF Fentress Chesapke,N/A,Virginia,Active,13.32224036,4.04743655
Navy Active,NSWC Carderock,N/A,Maryland,Active,3.02871036,0.28440109
Navy Active,Barrigada - NSA Andersen,Joint Region Marianas,Guam,Active,4.20107206,0.67529159
Navy Active,Manchester,N/A,Washington,Active,3.09644878,0.49707358
AF Active,Los Angeles Air Force Annex No4,N/A,California,Active,0.31869193,0.00634495
AF Active,Ellsworth AFB,N/A,South Dakota,Active,11.10121803,6.19323949
AF Guard,Boise Air Terminal,N/A,Idaho,Active,6.10816747,0.9191414
AF Guard,Hancock Field,N/A,New York,Active,3.69960181,0.42186999
AF Guard,Montgomery Regional Airport ANGB,N/A,Alabama,Active,1.88042428,0.09895828
AF Guard,Sky Harbor IAP,N/A,Arizona,Active,1.42847234,0.09408599
AF Active,Dix,Joint Base McGuire - Dix - Lakehurst,New Jersey,Active,54.00688149,48.42194574
AF Guard,Capital Airport,N/A,Illinois,Active,1.8553527,0.14707993
Army Guard,NG Orchard Mates Boise,N/A,Idaho,Active,4.51784953,0.33898085
Army Guard,NG Bend Cotef,N/A,Oregon,Active,1.92589058,0.24647883
Army Guard,NG VTS Milan,N/A,Tennessee,Active,20.6102512,3.89062931
Army Guard,NG Florence Military Reservation,N/A,Arizona,Active,24.73403119,9.83201905
Army Guard,NG Cambridge Springs,N/A,Pennsylvania,Active,2.19027247,0.16570191
Army Guard,NG Camp Williams Tomah MTA,N/A,Wisconsin,Active,2.63637616,0.17787205
Navy Active,ALF Waldron,N/A,Texas,Active,10.967386,1.32579425
Navy Active,NAS Key West FL,N/A,Florida,Active,62.75683769,6.12365514
AF Active,Holloman AFB,N/A,New Mexico,Active,53.65912605,79.56915038
Navy Active,Bayview Idaho,N/A,Idaho,Active,1.48647503,0.04081989
Army Active,Letterkenny Army Depot,N/A,Pennsylvania,Active,26.41286105,28.0193493
Army Active,Pinon Canyon,N/A,Colorado,Active,102.4938555,367.9802549
Army Active,Skelly Stagefield AL,N/A,Alabama,Active,2.34611504,0.23301706
Army Active,Tripler Army Medical Center,N/A,Hawaii,Active,3.46900298,0.55980472
MC Active,Oak Grove,N/A,North Carolina,Active,6.5167107,1.48466017
Navy Active,JNTEXPBASE Little Creek FS VA,Joint Expeditionary Base Little Creek - Fort Story,Virginia,Active,12.891425,3.29211424
Navy Active,NAVMEDCEN Portsmouth VA,N/A,Virginia,Active,2.15587215,0.17186836
Navy Active,NAVSUPPACT Bethesda MD,N/A,Maryland,Active,2.43801872,0.37872829
AF Active,Kirtland,N/A,New Mexico,Active,53.75878941,78.48517719
AF Active,Travis Annex 2,N/A,California,Active,2.46116805,0.32424531
AF Guard,Luis Munoz Marin IAP,N/A,Puerto Rico,Active,1.86453786,0.14904625
AF Active,Camp Bullis Training Annex,Joint Base San Antonio,Texas,Active,35.11808797,43.72598199
Army Guard,NG Duluth NG Armory,N/A,Minnesota,Active,0.40576643,0.01075931
Army Guard,NG General Lucius D Clay National Guard Center,N/A,Georgia,Active,2.15730372,0.16453405
Army Guard,NG Camp Sherman Joint Training Center,N/A,Ohio,Active,4.50221057,0.71215141
Army Guard,NG McNary Field Salem AASF,N/A,Oregon,Active,2.26390817,0.1240287
Army Guard,NG Jackson County AFRC,N/A,West Virginia,Active,5.26408832,0.56327436
Army Guard,NG Havre De Grace Military Res,N/A,Maryland,Active,1.81023721,0.11864852
Navy Active,Target B-19,N/A,Nevada,Active,30.38021256,45.43320157
Navy Active,Port Hueneme,N/A,California,Active,7.8691653,2.51523258
Navy Active,NAS Jacksonville FL,N/A,Florida,Active,13.57472445,5.21917596
Navy Active,Dixie Target Range,N/A,Texas,Active,18.01684274,12.22104075
AF Active,Cape Canaveral Air Force Station,N/A,Florida,Active,53.79458258,25.58864129
Navy Active,Solomons Island MD,N/A,Maryland,Active,4.87294032,0.43342503
Army Active,Pine Bluff Arsenal,N/A,Arkansas,Active,25.39129729,20.19862344
Army Active,Holston AAP,N/A,Tennessee,Active,34.72159265,9.60264689
Army Active,Fort Jackson,N/A,South Carolina,Active,42.46091876,82.3615815
Army Active,Fort Polk,N/A,Louisiana,Active,332.7735108,375.4596365
Army Active,Hunt Stagefield AL,N/A,Alabama,Active,1.92317563,0.20039693
Army Active,Fort De Russy,N/A,Hawaii,Active,1.50822926,0.11060108
Army Active,Fort Detrick Forest Glen Annex,N/A,Maryland,Active,2.20642048,0.19459995
Navy Active,SDA Area,N/A,Virginia,Active,1.49487142,0.14014529
Navy Active,Redington Township,N/A,Maine,Active,31.85232816,19.4922695
Navy Active,Bratenahl,N/A,Ohio,Active,1.17347686,0.04823925
AF Active,Avon Park AF Range,N/A,Florida,Active,75.6069703,166.278867
AF Active,Langley AFB,N/A,Virginia,Active,21.47567299,4.86093879
AF Active,Charleston AFB,Joint Base Charleston,South Carolina,Active,15.94819967,4.73353742
AF Guard,McEntire Joint National Guard Base,N/A,South Carolina,Active,11.15962031,3.73434117
AF Guard,Schenectady ANG MAP,N/A,New York,Active,2.44305308,0.19697492
AF Guard,Tulsa IAP,N/A,Oklahoma,Active,2.28947442,0.15614886
AF Guard,Hulman Fld,N/A,Indiana,Active,1.54130418,0.1084794
AF Active,McConnell AFB,N/A,Kansas,Active,15.32663449,4.14093277
Army Guard,NG Grayling Airfield,N/A,Michigan,Active,4.96602298,1.44081907
Army Guard,NG Camp Ripley,N/A,Minnesota,Active,91.52429311,82.43455153
Army Guard,NG Knightstown,N/A,Indiana,Active,3.98199214,0.60557005
Army Guard,NG Camp Atterbury,N/A,Indiana,Active,41.2768468,54.70204954
Army Guard,NG Rio Rancho TS,N/A,New Mexico,Active,1.84489447,0.18650518
Army Guard,NG Sea Girt NJ NGTC,N/A,New Jersey,Active,2.38799542,0.27220755
Army Guard,NG Floyd Edsall Training Center,N/A,Nevada,Active,8.56167604,2.61604132
Army Guard,NG MTA Camp Santiago,N/A,Puerto Rico,Active,21.62267452,19.76454482
Army Guard,NG TS Keaukaha Mil Res,N/A,Hawaii,Active,6.70610147,0.78726665
Navy Active,NAS Fort Worth JRB TX,N/A,Texas,Active,10.22592192,2.68375937
Navy Active,NOLF Santa Rosa,N/A,Florida,Active,5.49460292,1.16497294
Navy Active,Agana,Joint Region Marianas,Guam,Active,0.41211161,0.00928917
Navy Active,Barrigada - NAVBASE Guam,Joint Region Marianas,Guam,Active,9.41197726,2.13362333
Navy Active,NAVBASE Ventura Cty Point Mugu CA,N/A,California,Active,15.12018715,6.98976662
Navy Active,NAVSUPPFAC Beaufort SC,N/A,South Carolina,Active,1.90957695,0.18869564
Navy Active,Chesapeake Bay Detach,N/A,Maryland,Active,2.53268077,0.27562962
Navy Active,NAVPMOSSP Mtn View,N/A,California,Active,1.08032422,0.07722918
AF Active,Robins AFB,N/A,Georgia,Active,18.31583053,10.47149268
Army Active,Redstone Arsenal,N/A,Alabama,Active,36.82437325,59.65636472
Army Active,Fort Huachuca,N/A,Arizona,Active,76.52089724,126.2449889
Army Active,Cairns Basefield AL,N/A,Alabama,Active,7.26037498,2.01590342
Army Active,Runkle Stagefield AL,N/A,Alabama,Active,2.81278647,0.40943928
Army Active,Aliamanu Military Reservation,N/A,Hawaii,Active,5.87763715,0.92467372
Army Active,Dillingham Mil Res,N/A,Hawaii,Active,5.47414425,0.96697142
Army Active,Def Gen Supply Center,N/A,Virginia,Active,6.3406374,0.89470004
Army Active,Fort Benning AL,N/A,Alabama,Active,29.08141831,19.31206884
MC Active,TBR Main,N/A,Georgia,Active,228.6059602,128.6658504
MC Reserve,Syracuse MCRC,N/A,New York,Active,1.09136432,0.06630363
AF Active,Tinker Support Annex,N/A,Oklahoma,Active,1.95160534,0.2054024
AF Active,Fort Fisher Recreation Site,N/A,North Carolina,Active,1.91609877,0.06505427
AF Active,Barksdale AFB,N/A,Louisiana,Active,28.93687611,34.29115123
AF Active,Cannon AFB,N/A,New Mexico,Active,12.80012055,6.34170532
AF Active,Cannon AFB Site 2,N/A,New Mexico,Active,2.82718202,0.4416304
AF Active,Luke Air Force Auxiliary Field No 1,N/A,Arizona,Active,5.20833523,1.1827716
AF Guard,Gulfport-Biloxi Regional Airport (ANG),N/A,Mississippi,Active,2.098962,0.1685382
Army Guard,NG Auburn Training Site,N/A,Maine,Active,3.1868109,0.27550695
Army Guard,NG Bangor Training Site,N/A,Maine,Active,4.17443097,0.32135006
Army Guard,NG Santa Fe - Onate Complex TS,N/A,New Mexico,Active,3.4606317,0.51806938
Army Guard,NG TS BBTS,N/A,Delaware,Active,1.55724515,0.156022
Army Guard,NG Camp Murray,N/A,Washington,Active,3.79694678,0.36012408
Army Guard,NG Williamstown,N/A,West Virginia,Active,2.63769526,0.16075273
Army Guard,NG Camp Mabry,N/A,Texas,Active,3.51353317,0.57523732
Army Guard,NG Mitchell Complex,N/A,South Dakota,Active,1.30289084,0.09472833
Navy Active,Imperial Beach NOLF,N/A,California,Active,7.49933392,1.88222068
Navy Active,NAS Lemoore CA,N/A,California,Active,29.43698735,28.68363602
Navy Active,Harbor Drive,N/A,California,Active,1.60479076,0.10355526
AF Active,NGA Arnold Site,N/A,Missouri,Active,0.9408039,0.05376326
AF Active,Nellis AFB,N/A,Nevada,Active,47.38528664,29.83938631
Navy Active,Naval Base Kitsap Bremerton WA,N/A,Washington,Active,5.18728579,0.62789168
Army Active,Fort Leavenworth,N/A,Kansas,Active,15.80601106,8.91071797
Army Active,England Authority,N/A,Louisiana,Active,6.03853789,0.59628627
Army Active,Makua Mil Reserve,N/A,Hawaii,Active,12.17198674,6.65575787
Army Active,Blossom Point Research Facility,N/A,Maryland,Active,6.95251054,2.47410056
MC Active,MCRD San Diego,N/A,California,Active,4.14799628,0.66565193
MC Active,Barry Goldwater Range,N/A,Arizona,Active,162.2857547,1082.623808
Navy Active,NNSY South Gate,N/A,Virginia,Active,1.50066793,0.14386155
Navy Active,Fort Sheridan,N/A,Illinois,Active,10.64368854,0.22329262
Navy Active,Naval Station Great Lakes IL,N/A,Illinois,Active,4.31223234,0.82607028
Navy Active,NAS Kingsville TX,N/A,Texas,Active,20.88058479,6.22223808
AF Active,Davis Monthan AFB,N/A,Arizona,Active,24.07198502,16.49827831
AF Active,Fairchild AFB,N/A,Washington,Active,14.39328688,6.61378044
AF Active,North Air Force Auxiliary Field,Joint Base Charleston,South Carolina,Active,12.85026608,3.507752
AF Active,Altus AFB,N/A,Oklahoma,Active,14.6589949,6.39362365
AF Guard,Channel Islands ANG Station,N/A,California,Active,2.69661038,0.32236853
AF Guard,Tucson IAP,N/A,Arizona,Active,1.76995688,0.14661982
AF Guard,Barnes Map (ANG),N/A,Massachusetts,Active,1.96591611,0.17294544
AF Active,Kelly Field Annex,Joint Base San Antonio,Texas,Active,11.04816092,3.3418365
